縣市,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易年份,交易月份,交易筆棟數,總樓層數,建物型態,建築完成年月,建築完成年份,建物移轉總面積平方公尺,總價元,單價元平方公尺,屋齡
臺中市,北屯區,房地(土地+建物)+車位,22.73,商,1061111,106,11,土地1建物1車位1,十二層,住宅大樓(11層含以上有電梯),1060803,106,189.02,16000000,91527,0
臺中市,后里區,房地(土地+建物)+車位,36.76,住,1061111,106,11,土地3建物1車位1,十二層,住宅大樓(11層含以上有電梯),1060426,106,185.66,9800000,58675,0
臺中市,東區,房地(土地+建物)+車位,37.3,住,1061111,106,11,土地1建物1車位1,十四層,住宅大樓(11層含以上有電梯),1060116,106,211.86,10200000,51242,0
臺中市,清水區,房地(土地+建物)+車位,15.92,商,1061111,106,11,土地1建物1車位1,十五層,住宅大樓(11層含以上有電梯),1060905,106,157,5650000,35987,0
臺中市,豐原區,房地(土地+建物),93.05,住,1061111,106,11,土地1建物1車位0,四層,透天厝,1061016,106,213.09,15000000,70393,0
臺中市,北屯區,房地(土地+建物)+車位,21.39,住,1061111,106,11,土地2建物1車位1,十一層,住宅大樓(11層含以上有電梯),1061225,106,159.99,8680000,59327,0
臺中市,北屯區,房地(土地+建物)+車位,31.68,住,1061112,106,11,土地1建物1車位1,十五層,住宅大樓(11層含以上有電梯),1060308,106,189.7,15200000,84584,0
臺中市,南區,房地(土地+建物)+車位,22.9,商,1061112,106,11,土地2建物1車位1,十四層,住宅大樓(11層含以上有電梯),1061122,106,176.17,13000000,77900,0
臺中市,太平區,房地(土地+建物),104.12,住,1061112,106,11,土地1建物1車位0,三層,透天厝,1061204,106,200.22,16000000,79912,0
臺中市,烏日區,房地(土地+建物)+車位,34.69,住,1061112,106,11,土地2建物1車位1,七層,華廈(10層含以下有電梯),1061225,106,131.3,7000000,57778,0
臺中市,南區,房地(土地+建物)+車位,31.31,住,1061113,106,11,土地1建物1車位2,十二層,店面(店鋪),1060525,106,191.05,14660000,107887,0
臺中市,太平區,房地(土地+建物),104.3,住,1061113,106,11,土地4建物1車位0,四層,透天厝,1060922,106,264.05,22500000,85211,0
臺中市,南屯區,房地(土地+建物)+車位,33.98,住,1061113,106,11,土地1建物1車位1,十二層,住宅大樓(11層含以上有電梯),1060607,106,150.61,9500000,63077,0
臺中市,東勢區,房地(土地+建物),129.33,住,1061113,106,11,土地1建物1車位0,四層,透天厝,1060818,106,269.41,14200000,52708,0
臺中市,清水區,房地(土地+建物)+車位,26.7,住,1061113,106,11,土地1建物1車位1,七層,華廈(10層含以下有電梯),1060412,106,87.86,4200000,47803,0
臺中市,北屯區,房地(土地+建物)+車位,39.64,住,1061113,106,11,土地3建物1車位1,十二層,店面(店鋪),1061208,106,186.16,19880000,106790,0
臺中市,烏日區,房地(土地+建物)+車位,35.74,住,1061113,106,11,土地1建物1車位1,十二層,住宅大樓(11層含以上有電梯),1061201,106,156.73,7400000,49409,0
臺中市,西屯區,房地(土地+建物)+車位,10.19,商,1061114,106,11,土地1建物1車位1,二十七層,住宅大樓(11層含以上有電梯),1060524,106,158.55,16380000,116140,0
臺中市,西屯區,房地(土地+建物)+車位,49.44,住,1061114,106,11,土地2建物1車位2,二十一層,住宅大樓(11層含以上有電梯),1060629,106,268.46,22200000,90115,0
