縣市,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易年份,交易月份,交易筆棟數,總樓層數,建物型態,建築完成年月,建築完成年份,建物移轉總面積平方公尺,總價元,單價元平方公尺,屋齡
臺北市,士林區,房地(土地+建物)+車位,48.89,住,1061111,106,11,土地1建物1車位1,五層,華廈(10層含以下有電梯),1061214,106,118.17,28300000,259688,0
臺北市,大安區,房地(土地+建物),3.28,商,1061116,106,11,土地3建物1車位0,十四層,住宅大樓(11層含以上有電梯),1060515,106,39.27,12000000,305577,0
臺北市,內湖區,房地(土地+建物)+車位,35.18,住,1061116,106,11,土地1建物1車位2,十九層,住宅大樓(11層含以上有電梯),1060407,106,285.26,66300000,269688,0
臺北市,內湖區,房地(土地+建物)+車位,24.71,住,1061121,106,11,土地1建物1車位1,十四層,住宅大樓(11層含以上有電梯),1060320,106,208.49,25500000,122308,0
臺北市,中山區,房地(土地+建物)+車位,17.72,商,1061121,106,11,土地3建物1車位1,二十四層,住宅大樓(11層含以上有電梯),1061208,106,224.49,69610000,362958,0
臺北市,北投區,房地(土地+建物)+車位,13.29,住,1061122,106,11,土地1建物1車位1,二十五層,住宅大樓(11層含以上有電梯),1060220,106,196.59,48100000,270064,0
臺北市,大安區,房地(土地+建物)+車位,9.2,商,1061122,106,11,土地3建物1車位1,十五層,住宅大樓(11層含以上有電梯),1060828,106,134.56,42280000,314209,0
臺北市,北投區,房地(土地+建物)+車位,47.44,其他,1061122,106,11,土地1建物1車位1,十三層,住宅大樓(11層含以上有電梯),1061117,106,189.59,12872518,67897,0
臺北市,士林區,房地(土地+建物)+車位,47.37,住,1061123,106,11,土地1建物1車位2,八層,華廈(10層含以下有電梯),1060307,106,267.12,68000000,316901,0
臺北市,文山區,房地(土地+建物),31.42,住,1061123,106,11,土地1建物1車位0,七層,華廈(10層含以下有電梯),1060104,106,140.1,24580000,175446,0
臺北市,文山區,房地(土地+建物)+車位,36.28,住,1061123,106,11,土地1建物1車位1,十層,華廈(10層含以下有電梯),1060106,106,185.56,26180000,166883,0
臺北市,文山區,房地(土地+建物),32.31,住,1061123,106,11,土地1建物1車位0,七層,華廈(10層含以下有電梯),1060104,106,133.65,21880000,163711,0
臺北市,北投區,房地(土地+建物)+車位,47.68,其他,1061123,106,11,土地1建物1車位1,十三層,住宅大樓(11層含以上有電梯),1061114,106,194.91,9339754,47918,0
臺北市,北投區,房地(土地+建物)+車位,48.48,其他,1061123,106,11,土地1建物1車位1,十層,華廈(10層含以下有電梯),1061116,106,189.15,10052824,53147,0
臺北市,北投區,房地(土地+建物)+車位,48.63,其他,1061123,106,11,土地1建物1車位1,十層,華廈(10層含以下有電梯),1061116,106,189.65,10052824,53007,0
臺北市,北投區,房地(土地+建物)+車位,48.48,其他,1061123,106,11,土地1建物1車位1,十層,華廈(10層含以下有電梯),1061116,106,189.69,10052824,52996,0
臺北市,北投區,房地(土地+建物)+車位,48.63,其他,1061123,106,11,土地1建物1車位1,十層,華廈(10層含以下有電梯),1061116,106,190.19,10052824,52857,0
