縣市,鄉鎮市區,交易標的,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,交易年份,交易月份,交易筆棟數,總樓層數,建物型態,建築完成年月,建築完成年份,建物移轉總面積平方公尺,總價元,單價元平方公尺,屋齡
高雄市,大寮區,房地(土地+建物),70.68,住,1070101,107,1,土地2建物1車位0,四層,透天厝,1070104,107,163.92,8750000,53380,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070107,107,1,土地1建物1車位0,四層,透天厝,1070104,107,229,15000000,65502,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070125,107,1,土地1建物1車位0,四層,透天厝,1070104,107,229,15100000,65939,0
高雄市,鳳山區,房地(土地+建物),100.19,住,1070125,107,1,土地1建物1車位0,四層,透天厝,1070104,107,318.71,19360000,60745,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070126,107,1,土地1建物1車位0,四層,透天厝,1070104,107,229,15100000,65939,0
高雄市,鳳山區,房地(土地+建物),79.97,住,1070128,107,1,土地1建物1車位0,四層,透天厝,1070104,107,225.84,12680000,56146,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070129,107,1,土地1建物1車位0,四層,透天厝,1070104,107,229,15300000,66812,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070202,107,2,土地1建物1車位0,四層,透天厝,1070104,107,229,15050000,65721,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070202,107,2,土地1建物1車位0,四層,透天厝,1070104,107,229,15050000,65721,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070202,107,2,土地1建物1車位0,四層,透天厝,1070104,107,229,15050000,65721,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070202,107,2,土地1建物1車位0,四層,透天厝,1070104,107,229,15050000,65721,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070203,107,2,土地1建物1車位0,四層,透天厝,1070104,107,208.3,12950000,62170,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070204,107,2,土地1建物1車位0,四層,透天厝,1070104,107,208.3,12950000,62170,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070205,107,2,土地1建物1車位0,四層,透天厝,1070104,107,208.3,12800000,61450,0
高雄市,鳳山區,房地(土地+建物),76.84,住,1070211,107,2,土地1建物1車位0,四層,透天厝,1070104,107,217.21,13300000,61231,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070212,107,2,土地1建物1車位0,四層,透天厝,1070104,107,208.3,12950000,62170,0
高雄市,大寮區,房地(土地+建物),66.3,住,1070220,107,2,土地2建物1車位0,四層,透天厝,1070104,107,157.18,7980000,50770,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070224,107,2,土地1建物1車位0,四層,透天厝,1070104,107,229,15260000,66638,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,229,15500000,67686,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,229,15500000,67686,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,229,15450000,67467,0
高雄市,鳳山區,房地(土地+建物),89.76,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,229,15320000,66900,0
高雄市,鳳山區,房地(土地+建物),95.38,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,238.75,15300000,64084,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13050000,62650,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,208.3,13000000,62410,0
高雄市,鳳山區,房地(土地+建物),80.25,住,1070301,107,3,土地1建物1車位0,四層,透天厝,1070104,107,225.84,12800000,56677,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070303,107,3,土地1建物1車位0,四層,透天厝,1070104,107,229,15380000,67162,0
高雄市,鳳山區,房地(土地+建物),72.32,住,1070303,107,3,土地1建物1車位0,四層,透天厝,1070104,107,208.3,12960000,62218,0
高雄市,鳳山區,房地(土地+建物),84.26,住,1070307,107,3,土地1建物1車位0,四層,透天厝,1070104,107,234.43,12830000,54728,0
高雄市,鳳山區,房地(土地+建物),89.77,住,1070319,107,3,土地1建物1車位0,四層,透天厝,1070104,107,229,15500000,67686,0
高雄市,大寮區,房地(土地+建物),66.79,住,1070322,107,3,土地3建物1車位0,四層,透天厝,1070104,107,154.9,7920000,51130,0
高雄市,大寮區,房地(土地+建物),66.06,住,1070325,107,3,土地3建物1車位0,四層,透天厝,1070104,107,148.5,7985000,53771,0
高雄市,大寮區,房地(土地+建物),63.87,住,1070325,107,3,土地2建物1車位0,四層,透天厝,1070104,107,149.03,7900000,53009,0
高雄市,鳳山區,房地(土地+建物),89.75,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,229,15600000,68122,0
高雄市,鳳山區,房地(土地+建物),95.37,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,238.75,15600000,65340,0
高雄市,鳳山區,房地(土地+建物),95.37,住,1070401,107,4,土地1建物1車位0,四層,透天厝,1070104,107,239.01,15600000,65269,0
